,city,area,rooms,bathroom,parking_spaces,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),target
0,4.0,70.0,2.0,1.0,1.0,0.0,0.0,2065.0,3300.0,211.0,42.0,8.633909225463867
1,4.0,320.0,4.0,4.0,0.0,0.0,1.0,1200.0,4960.0,1750.0,63.0,8.983941078186035
2,2.0,80.0,1.0,1.0,1.0,0.0,1.0,1000.0,2800.0,0.0,41.0,8.253747940063477
3,2.0,51.0,2.0,1.0,0.0,0.0,1.0,270.0,1112.0,22.0,17.0,7.259819507598877
4,4.0,25.0,1.0,1.0,0.0,1.0,1.0,0.0,800.0,25.0,11.0,6.729824066162109
5,4.0,376.0,3.0,3.0,7.0,0.0,1.0,0.0,8000.0,834.0,121.0,9.100078582763672
6,3.0,72.0,2.0,1.0,0.0,0.0,1.0,740.0,1900.0,85.0,25.0,7.919719696044922
7,4.0,213.0,4.0,4.0,4.0,0.0,1.0,2254.0,3223.0,1735.0,41.0,8.889307975769043
8,4.0,152.0,2.0,2.0,1.0,0.0,0.0,1000.0,15000.0,250.0,191.0,9.707533836364746
9,3.0,35.0,1.0,1.0,0.0,0.0,0.0,590.0,2300.0,35.0,30.0,7.9915924072265625
10,4.0,26.0,1.0,1.0,0.0,0.0,0.0,470.0,2100.0,150.0,27.0,7.918628692626953
11,1.0,46.0,1.0,1.0,1.0,0.0,1.0,550.0,580.0,43.0,8.0,7.074963092803955
12,4.0,36.0,1.0,1.0,0.0,0.0,1.0,359.0,2100.0,70.0,27.0,7.846590042114258
13,4.0,55.0,1.0,1.0,1.0,0.0,0.0,790.0,4200.0,224.0,54.0,8.569596290588379
14,4.0,100.0,2.0,2.0,2.0,0.0,0.0,900.0,4370.0,17.0,56.0,8.58372974395752
15,1.0,330.0,4.0,6.0,6.0,0.0,0.0,680.0,8000.0,328.0,121.0,9.1193208694458
